spec,S_003_01,S_003_02,S_003_03
Anisantha tectorum (L.) Nevski,,3,35
Calamagrostis epigeios (L.) Roth,,40,
Bromopsis inermis (Leyss.) Holub,20,10,15
Bromopsis riparia (Rehmann) Holub,15,7,
Elytrigia repens (L.) Nevski,5,,
Festuca valesiaca Gaudin,40,10,
Festuca pratensis Huds.,,5,
Poa angustifolia L.,,25,25
Convolvulus arvensis L.,1,,1
Euphorbia seguieriana Neck.,,,5
Anchusa officinalis L.,,5,
Verbascum phoeniceum L.,,,
Daucus carota L.,,3,
Galium pseudohumifusum (Klokov) Ostapko,5,,7
Limonium platyphyllum Lincz.,3,15,
Berteroa incana (L.) DC.,,5,
Glechoma hederacea  L.,,5,
Marrubium praecox Janka,,,5
Phlomis pungens Willd.,,,10
Salvia nutans L.,1,,
Salvia tesquicola Klokov & Pobed.,3,,1
Stachys transsilvanica Schur,,,10
Eryngium campestre L.,1,,
Cardaria draba (L.) Desv.,,10,
Falcaria vulgaris Bernh.,,3,
Medicago romanica Prodán,5,,3
Vicia tenuifolia Roth,10,7,20
Achillea pannonica Scheele,,10,3
Artemisia austriaca Jacq.,3,,
Inula germanica L.,,1,
Galatella dracunculoides (Lam.) Ness,,,3
Carex hartmanii Cajand.,,15,
