spec,S_006_01,S_006_02,S_006_03
Elytrigia repens (L.) Nevski,10,15,13
Hierochloa stepporum P.A. Smirn.,25,,5
Festuca rupicola Heuff.,,,1
Festuca valesiaca Gaudin,70,70,40
Poa angustifolia L.,,,11
Stipa grafiana Steven,,2,
Stipa lessingiana Trin. & Rupr.,5,8,
Convolvulus arvensis L.,1,,1
Euphorbia seguieriana Neck.,,7,5
Euphorbia stepposa Zoz ex Prokh.,20,15,
Euphorbia virgata Waldst. & Kit.,3,5,15
Hypericum perforatum L.,,1,6
Plantago lanceolata L.,,5,
Verbascum densiflorum Bertol.,4,6,3
Verbascum laxum Filar. & Jáv.,10,12,15
Linaria genistifolia (L.) Mill.,1,,
Otites wolgensis (Hornem.) Grossh.,4,,
Agrimonia eupatoria L.,,,7
Potentilla argentea L.,,,7
Potentilla callieri (Th. Wolf) Juz.,3,,
Potentilla humifusa Willd. ex Schlecht.,4,6,8
Potentilla neglecta Baumg.,1,,1
Potentilla schurii Fuss ex Zimmeter,,,2
Melampyrum argyrocomum Fisch.,,5,
Viola ambigua Waldst. & Kit.,,,4
Salvia tesquicola Klokov & Pobed.,10,5,
Salvia verticillata L.,6,8,17
Stachys transsilvanica Schur,8,14,8
Linum czernjajevii Klokov,1,,
Falcaria vulgaris Bernh.,7,,5
Dianthus elongatus C.A. Mey.,2,,
Reseda lutea L.,7,,
Lathyrus tuberosus L.,2,,
Lotus stepposus Kramina,,5,
Medicago romanica Prodán,15,20,20
Medicago scutellata (L.) Mill.,7,,
Securigera varia (L.) Lassen,,,12
Achillea nobilis L.,5,25,
Achillea pannonica Scheele,7,,25
Achillea stepposa Klokov & Krytzka,,,16
Artemisia austriaca Jacq.,,3,8
Artemisia marschalliana Spreng.,5,,
Centaurea diffusa Lam.,1,1,8
Centaurea scabiosa L.,,6,2
Hieracium robustum Fr.,5,,
Senecio erucifolius L.,,9,11
Cirsium arvense (L.) Scop.,,,2
