spec,S_010_01,S_011_01,S_012_01
Calamagrostis epigeios (L.) Roth,,15,50
Elytrigia repens (L.) Nevski,12,45,20
Festuca valesiaca Gaudin,6,,5
Poa angustifolia L.,65,20,20
Convolvulus arvensis L.,18,7,10
Plantago lanceolata L.,,3,
Galium humifusum M. Bieb.,,10,
Galium pseudohumifusum (Klokov) Ostapko,7,,14
Linaria vulgaris Mill.,4,,
Limonium membranaceum (Czern.) Klokov,15,,
Verbascum densiflorum Bertol.,1,,
Melandrium album (Mill.) Garcke,,,1
Cichorium intybus L.,,,3
Salvia tesquicola Klokov & Pobed.,3,,4
Medicago procumbens Besser,4,6,3
Medicago romanica Prodán,,6,
Securigera varia (L.) Lassen,25,20,
Achillea nobilis L.,7,,
Ambrosia artemisiifolia L.,,7,
Carduus acanthoides L.,4,4,
Centaurea jacea L.,7,4,
Cirsium arvense (L.) Scop.,,6,
Hieracium auratum Fr.,,6,
Galatella dracunculoides (Lam.) Ness,15,15,
Senecio macrophyllus M. Bieb.,,2,
Taraxacum officinale Wigg.,,2,
Silene dichotoma Ehrh.,5,,
