spec,S_017_01,S_018_01,S_018_02
Bothriochloa ischaemum (L.) Keng,,,3
Bromopsis riparia (Rehmann) Holub,13,20,
Festuca valesiaca Gaudin,50,15,20
Koeleria cristata (L.) Pers.,,,6
Stipa capillata L.,7,4,2
Stipa lessingiana Trin. & Rupr.,20,30,20
Stipa ucrainica P.A. Smirn.,,,15
Plantago lanceolata L.,3,4,3
Plantago urvillei Opiz,6,,
Pseudolysimachion barrelieri (Schott) Holub,6,,2
Veronica sclerophylla Dubovik,,,3
Galium humifusum M. Bieb.,4,5,
Galium ruthenicum Willd.,,,8
Asperula stevenii V. Krecz.,,,6
Linum austriacum L.,8,5,8
Dianthus elongatus C.A. Mey.,6,,
Dianthus pseudoversicolor Klokov,9,,7
"Euphorbia seguieriana Neck.
",7,,5
Euphorbia stepposa Zoz ex Prokh.,6,5,1
Eryngium campestre L.,5,15,4
Falcaria vulgaris Bernh.,5,,
Linaria vulgaris Mill.,2,5,
Echium vulgare L.,1,,
Thalictrum minus L.,5,20,3
Potentilla callieri (Th. Wolf) Juz.,,,6
Marrubium praecox Janka,,3,
Phlomis pungens Willd.,,,6
Phlomoides tuberosa (L.) Moench,,,2
Salvia nutans L.,12,25,
Salvia tesquicola Klokov & Pobed.,,,5
Teucrium polium L.,4,,3
Thymus dimorphus Klokov & Des.-Shost.,8,,5
Thymus marschallianus Willd.,,,15
Astragalus ucrainicus M. Pop. & Klokov,,7,
Caragana frutex (L.) K. Koch,10,,
Lathyrus tuberosus L.,,,5
Medicago romanica Prodán,10,7,9
Securigera varia (L.) Lassen,,,9
Achillea pannonica Scheele,5,,
Artemisia austriaca Jacq.,9,7,9
Artemisia marschalliana Spreng.,,3,
Cichorium intybus L.,3,,
Galatella villosa (L.) Rchb. f.,,5,
Senecio erucifolius L.,2,,
Xeranthemum annuum L.,3,,
