spec,S_002_01,S_002_02,S_002_03
Anisantha tectorum (L.) Nevski,,15,
Bromopsis inermis (Leyss.) Holub,,15,
Koeleria cristata (L.) Pers.,5,,
Festuca rupicola Heuff.,,5,15
Festuca valesiaca Gaudin,70,30,60
Poa angustifolia L.,,3,
Stipa capillata L.,,1,
Tragopogon tesquicola Klokov,,,1
Convolvulus arvensis L.,,,1
Euphorbia seguieriana Neck.,7,5,7
Euphorbia stepposa Zoz ex Prokh.,,3,
Otites wolgensis (Hornem.) Grossh.,,,5
Hypericum perforatum L.,,7,
Pseudolysimachion barrelieri (Schott) Holub,3,,
Plantago lanceolata L.,3,,3
Plantago urvillei Opiz,,,5
Ferulago galbanifera (Mill.) W.D.J. Koch,3,10,
Galium pseudohumifusum (Klokov) Ostapko,3,,
Linum czernjajevii Klokov,,3,
Ajuga pseudochia Des.-Shost.,,7,
Potentilla argentea L.,5,5,
Salvia aethiopis L.,,2,
Eryngium campestre L.,5,7,
Polygonum aviculare L.,,7,
Astragalus onobrychis L.,20,,
Astragalus ucrainicus M. Pop. & Klokov,1,,
Medicago romanica Prodán,15,10,
Melilotus officinalis (L.) Lam.,3,10,35
Achillea stepposa Klokov & Krytzka,7,,
Artemisia austriaca Jacq.,10,,1
Inula germanica L.,,7,
Centaurea diffusa Lam.,,5,
Tragopogon tesquicola Klokov,,,1
Tanacetum millefolium (L.) Tzvelev,3,,
