spec,S_005_03,S_005_02,S_005_01
Bromopsis riparia (Rehmann) Holub,,,3
Elytrigia repens (L.) Nevski,1,3,
Hierochloa stepporum P.A. Smirn.,,,15
Festuca valesiaca Gaudin,60,50,50
Stipa lessingiana Trin. & Rupr.,,5,
Stipa tirsa Steven,6,3,
Convolvulus arvensis L.,3,4,4
Euphorbia seguieriana Neck.,10,10,10
Hypericum perforatum L.,,,4
Pseudolysimachion barrelieri (Schott) Holub,3,1,
Plantago lanceolata L.,7,,
Erysimum canescens Roth,,,1
Galium humifusum M. Bieb.,7,,
Reseda lutea L.,7,5,
Agrimonia eupatoria L.,8,,
Potentilla argentea L.,2,,7
Potentilla astracanica Jacq.,,3,3
Potentilla humifusa Willd. ex Schlecht.,2,,
Phlomis pungens Willd.,,,1
Stachys transsilvanica Schur,,,5
Eryngium campestre L.,,5,4
Falcaria vulgaris Bernh.,6,,
Dianthus elongatus C.A. Mey.,2,,
Medicago lupulina L.,2,,
Medicago romanica Prodán,3,7,5
Melilotus officinalis (L.) Lam.,1,1,
Achillea pannonica Scheele,5,,
Achillea stepposa Klokov & Krytzka,20,10,6
Centaurea diffusa Lam.,10,7,3
Alyssum desertorum Stapf,,,1
Cirsium ukranicum Besser,2,2,
Hieracium robustum Fr.,,5,5
Galatella dracunculoides (Lam.) Ness,1,,
Lactuca saligna L.,,2,
Pilosella officinаrum F. Schult. & Sch. Bip.,1,,
Scorzonera stricta Hornem.,1,,
Sonchus asper (L.) Hill,,2,
Sonchus oleraceus L.,,,2
Tanacetum millefolium (L.) Tzvelev,15,15,8
