spec,S_027_01,S_027_02,S_028_01
Anisantha tectorum (L.) Nevski,20,,
Bothriochloa ischaemum (L.) Keng,,,40
Bromopsis inermis (Leyss.) Holub,,15,
Bromopsis riparia (Rehmann) Holub,,,5
Cleistogenes bulgarica (Bornm.) Keng,,,10
Festuca rupicola Heuff.,,20,
Festuca valesiaca Gaudin,25,50,
Poa angustifolia L.,50,14,
Stipa lessingiana Trin. & Rupr.,,,9
Convolvulus arvensis L.,7,6,
Plantago lanceolata L.,8,,
Veronica sclerophylla Dubovik,12,3,
Galium pseudohumifusum (Klokov) Ostapko,,30,
Galium ruthenicum Willd.,,5,
Asperula cynanchica L.,3,,
Linum czernjajevii Klokov,,,17
Limonium sareptanum (A. Becker) Gams,4,,4
Reseda lutea L.,8,,
Euphorbia kaleniczenkoi Czern.,10,,11
Euphorbia stepposa Zoz ex Prokh.,9,7,
Euphorbia seguieriana Neck.,13,,
Falcaria vulgaris Bernh.,4,,
Ferulago galbanifera (Mill.) W.D.J. Koch,3,,
Pimpinella saxifraga L.,,,4
Gypsophila oligosperma A. Krasnova,,,5
Linaria vulgaris Mill.,5,,
Nigella arvensis L.,10,,
Verbascum densiflorum Bertol.,7,,
Verbascum marschallianum Ivanina & Tzvelev,,3,
Viola ambigua Waldst. & Kit.,7,,
Berteroa incana (L.) DC.,,5,
Potentilla humifusa Willd. ex Schlecht.,11,,6
Marrubium praecox Janka,15,6,
Phlomis pungens Willd.,20,14,
Salvia aethiopis L.,2,,
Salvia nutans L.,15,,10
Salvia tesquicola Klokov & Pobed.,7,25,
Stachys transsilvanica Schur,18,5,
Teucrium polium L.,20,,10
Thymus dimorphus Klokov & Des.-Shost.,18,,8
Thymus marschallianus Willd.,40,,
Astragalus austriacus Jacq.,12,,
Medicago romanica Prodán,15,8,
Securigera varia (L.) Lassen,15,,
Achillea nobilis L.,,5,
Achillea pannonica Scheele,,15,
Artemisia austriaca Jacq.,35,,
Centaurea marschalliana Spreng.,,,25
Conyza canadensis (L.) Cronq.,,6,
Galatella villosa (L.) Rchb. f.,,,14
Lactuca serriola L.,,2,
Scabiosa ochroleuca L.,,,25
Tragopogon major Jacq.,,4,
