spec,S_032_01,S_032_02,S_031_01
Bromopsis inermis (Leyss.) Holub,10,4,2
Bromopsis riparia (Rehmann) Holub,12,15,4
Elytrigia repens (L.) Nevski,10,,
Festuca valesiaca Gaudin,65,70,60
Koeleria cristata (L.) Pers.,,20,6
Poa angustifolia L.,,,22
Stipa capillata L.,5,,
Convolvulus arvensis L.,2,3,2
Consolida paniculata (Host) Schur,,3,
Plantago lanceolata L.,9,1,
Plantago urvillei Opiz,11,,
Galium pseudohumifusum (Klokov) Ostapko,24,,
Asperula stevenii V. Krecz.,10,,
Hypericum perforatum L.,5,20,
Euphorbia seguieriana Neck.,7,6,
Euphorbia stepposa Zoz ex Prokh.,4,5,
Euphorbia virgata Waldst. & Kit.,1,,
Eryngium campestre L.,8,6,30
Falcaria vulgaris Bernh.,2,,
Agrimonia eupatoria L.,10,,18
Fragaria viridis Duchesne,25,,
Potentilla argentea L.,1,,
Potentilla humifusa Willd. ex Schlecht.,4,,
Potentilla neglecta Baumg.,6,15,17
Potentilla schurii Fuss ex Zimmeter,,2,
Scabiosa ochroleuca L.,,8,
Daucus carota L.,,7,10
Linaria genistifolia (L.) Mill.,,4,1
Linaria vulgaris Mill.,4,12,6
Salvia tesquicola Klokov & Pobed.,8,,
Astragalus austriacus Jacq.,12,,
Lathyrus tuberosus L.,,,5
Lotus ×ucrainicus Klokov,15,2,
Medicago romanica Prodán,15,,
Securigera varia (L.) Lassen,13,,
Achillea nobilis L.,7,6,10
Achillea pannonica Scheele,20,18,15
Artemisia absinthium L.,,,7
Artemisia austriaca Jacq.,,17,
Artemisia santonica L.,3,5,
Centaurea diffusa Lam.,,5,
Centaurea marschalliana Spreng.,,2,
Centaurea orientalis L.,,5,
Cichorium intybus L.,,1,
Galatella dracunculoides (Lam.) Ness,,,4
Pilosella echioides (Lumn.) F. Schult. & Sch. Bip.,,2,13
Pilosella officinаrum F. Schult. & Sch. Bip.,9,7,11
Tanacetum millefolium (L.) Tzvelev,,6,5
Tanacetum vulgare L.,,40,
Xeranthemum annuum L.,,3,
