spec,S_024_01,S_025_01,S_026_01
Aegilops cylindrica Host,20,,
Bromus arvensis L.,25,,
Bromopsis riparia (Rehmann) Holub,,15,
Calamagrostis epigeios (L.) Roth,,,10
Elytrigia repens (L.) Nevski,6,,5
Festuca pratensis Huds.,,,20
Festuca valesiaca Gaudin,10,20,
Poa angustifolia L.,7,8,
Poa pratensis L.,,,12
Stipa lessingiana Trin. & Rupr.,,6,
Consolida paniculata (Host) Schur,3,,
Convolvulus arvensis L.,6,,
Polygonum aviculare L.,6,,
Plantago lanceolata L.,5,,
Plantago urvillei Opiz,6,,
Pseudolysimachion barrelieri (Schott) Holub,7,,
Veronica sclerophylla Dubovik,3,,
Galium album Mill.,,,10
Galium pseudohumifusum (Klokov) Ostapko,25,,10
Melampyrum pratense L.,,,8
Atriplex tatarica L.,4,,
Limonium membranaceum (Czern.) Klokov,30,,
Euphorbia stepposa Zoz ex Prokh.,4,,
Ferula galbanifera (Mill.) W.D.J. Koch,4,2,
Peucedanum ruthenicum M. Bieb.,30,3,
Pimpinella saxifraga L.,35,,
Ranunculus acris L.,,,10
Thalictrum minus L.,,1,
Geranium collinum Stephan,,,70
Otites wolgensis (Hornem.) Grossh.,7,,
Linum austriacum L.,2,,
Linum czernjajevii Klokov,40,,
Campanula farinosa Andrz.,9,,
Cichorium intybus L.,8,,11
Althaea officinalis L.,2,,
Filipendula vulgaris Moench,,2,
Potentilla humifusa Willd. ex Schlecht.,4,3,
Potentilla obscura Willd.,2,,
Potentilla neglecta Baumg.,1,,
Glechoma hederacea L.,,,5
Salvia nutans L.,13,,
Stachys transsilvanica Schur,10,5,
Teucrium polium L.,5,,
Thymus dimorphus Klokov & Des.-Shost.,15,,
Astragalus ucrainicus M. Pop. & Klokov,,5,
Achillea nobilis L.,15,,
Achillea pannonica Scheele,3,,5
Artemisia austriaca Jacq.,5,,
Artemisia santonica L.,9,,
Centaurea diffusa Lam.,,2,
Galatella dracunculoides (Lam.) Ness,,,14
Galatella villosa (L.) Rchb. f.,10,,
Senecio erucifolius L.,,1,
Senecio grandidentatus Ledeb.,,,15
Tanacetum millefolium (L.) Tzvelev,,5,
Taraxacum officinale Wigg.,,,7
Xeranthemum annuum L.,,1,
Allium flavescens Besser,,1,
Sium sisarum L.,,,40
Carex riparia Curtis,,,7
