spec,S_004_01,S_004_02,S_004_03
Elytrigia repens (L.) Nevski,7,4,7
Koeleria cristata (L.) Pers.,15,,
Festuca valesiaca Gaudin,70,60,40
Stipa capillata L.,,10,7
Stipa lessingiana Trin. & Rupr.,,,8
Convolvulus arvensis L.,1,,
Euphorbia seguieriana Neck.,,5,10
Plantago lanceolata L.,,8,
Plantago urvillei Opiz,,3,
Galium ruthenicum Willd.,,6,
Agrimonia eupatoria L.,,,5
Potentilla astracanica Jacq.,5,,
Marrubium praecox Janka,,,5
Salvia nutans L.,,,30
Salvia tesquicola Klokov & Pobed.,4,6,
Stachys transsilvanica Schur,,1,5
Thymus dimorphus Klokov & Des.-Shost.,7,20,
Thymus marschallianus Willd.,,8,
Teucrium polium L.,,5,10
Eryngium campestre L.,,2,3
Astragalus onobrychis L.,,3,
Caragana frutex (L.) K. Koch,,9,8
Lotus ucrainicus Klokov,,1,
Medicago romanica Prodán,5,,
Securigera varia (L.) Lassen,,9,
Achillea nobilis L.,7,,
Achillea pannonica Scheele,,,7
Achillea stepposa Klokov & Krytzka,,15,3
Artemisia vulgaris L.,1,,
Hieracium robustum Fr.,,5,
Tanacetum millefolium (L.) Tzvelev,10,20,
