spec,S_008_01,S_008_02,S_008_03
Elytrigia repens (L.) Nevski,90,5,40
Poa angustifolia L.,3,,
Convolvulus arvensis L.,,8,2
Euphorbia virgata Waldst. & Kit.,,7,6
Polygonum aviculare L.,1,,
Otites chersonensis (Zapał.) Klokov,,,3
Otites wolgensis (Hornem.) Grossh.,,,
Agrimonia eupatoria L.,3,5,8
Potentilla obscura Willd.,,2,12
Origanum vulgare L.,,7,
Melandrium album (Mill.) Garcke,1,4,
Raphanus raphanistrum L.,,4,
Reseda lutea L.,,,3
Daucus carota L.,,9,
Cynanchum acutum L.,,3,
Lathyrus tuberosus L.,1,5,11
Medicago lupulina L.,,,3
Securigera varia (L.) Lassen,,,6
Achillea nobilis L.,5,15,5
Artemisia absinthium L.,,16,10
Aster bessarabicus Bernh. ex Rchb.,,,7
Cirsium polonicum (Petrak) Iljin,,3,
Conyza canadensis (L.) Cronq.,,65,17
Galatella dracunculoides (Lam.) Ness,,3,6
Lactuca serriola L.,,11,10
Picris hieracioides L.,,3,5
Senecio jacobaea L.,,4,
Senecio erucifolius L.,,1,5
Sonchus asper (L.) Hill,,11,7
Tragopogon tesquicola Klokov  ,,5,9
