spec,S_014_01,S_015_01,S_016_01
Bothriochloa ischaemum (L.) Keng,,,3
Bromopsis inermis (Leyss.) Holub,1,,
Bromopsis riparia (Rehmann) Holub,7,25,14
Cleistogenes bulgarica (Bornm.) Keng,,7,12
Elytrigia repens (L.) Nevski,,1,
Festuca rupicola Heuff.,5,,
Festuca valesiaca Gaudin,20,40,10
Stipa capillata L.,2,,9
Stipa lessingiana Trin. & Rupr.,60,15,35
Stipa ucrainica P.A. Smirn.,,5,
Convolvulus arvensis L.,3,2,
Convolvulus lineatus L.,,8,5
Plantago lanceolata L.,2,8,
Veronica sclerophylla Dubovik,,5,6
Galium humifusum M. Bieb.,4,5,
Asperula graniticola Klokov,,,3
Asperula stevenii V. Krecz.,,,5
Linum austriacum L.,,,8
Linum czernjajevii Klokov,,,10
Euphorbia stepposa Zoz ex Prokh.,6,7,
Eryngium campestre L.,11,,
Falcaria vulgaris Bernh.,6,2,
Silene multiflora (Waldst. & Kit.) Pers.,,3,6
Linaria maeotica Klokov,,1,8
Nigella arvensis L.,,3,3
Verbascum marschallianum Ivanina & Tzvelev,,1,
Vinca herbacea Waldst. & Kit.,,3,
Syrenia cana (Piller & Mitterp.) Neilr.,1,,
Marrubium praecox Janka,15,8,11
Nepeta parviflora M. Bieb.,,,6
Phlomis pungens Willd.,6,6,7
Salvia nutans L.,,25,20
Salvia tesquicola Klokov & Pobed.,10,,
Stachys transsilvanica Schur,,,2
Teucrium polium L.,2,4,12
Thymus dimorphus Klokov & Des.-Shost.,4,4,10
Astragalus austriacus Jacq.,8,10,
Astragalus ucrainicus M. Pop. & Klokov,,,4
Lathyrus tuberosus L.,7,,
Medicago romanica Prodán,10,5,11
Securigera varia (L.) Lassen,10,6,
Achillea nobilis L.,,9,
Achillea pannonica Scheele,16,,
Artemisia austriaca Jacq.,,,20
Centaurea diffusa Lam.,,2,
Galatella villosa (L.) Rchb. f.,,,6
Senecio erucifolius L.,,1,
Tanacetum millefolium (L.) Tzvelev,,18,
Xeranthemum annuum L.,,2,
