spec,S_001_01,S_001_02,S_001_03
Bromopsis inermis (Leyss.) Holub,1,,3
Bromopsis riparia (Rehmann) Holub,15,7,10
Elytrigia intermedia (Host) Nevski,,,10
Koeleria cristata (L.) Pers.,,,5
Festuca rupicola Heuff.,,5,1
Festuca valesiaca Gaudin,40,20,10
Poa angustifolia L.,,5,
Stipa dasyphylla (Czern. ex Lindem.) Trautv.,5,25,7
Stipa grafiana Steven,,,10
Stipa lessingiana Trin. & Rupr.,3,15,25
Stipa ucrainica P.A. Smirn.,,,5
Stipa zalesskii Wilensky,5,,
Ranunculus illyricus L.,5,3,
Thalictrum minus L.,,,7
Convolvulus arvensis L.,1,,
Euphorbia stepposa Zoz ex Prokh.,7,5,3
Eremogone biebersteinii (Schlecht.) Holub,,5,
Hypericum elegans Stephan ex Willd.,5,3,
Pseudolysimachion barrelieri (Schott) Holub,,3,1
Plantago lanceolata L.,3,1,3
Plantago urvillei Opiz,,5,5
Verbascum phoeniceum L.,,1,3
Nonea rossica Steven,1,,1
Ferulago galbanifera (Mill.) W.D.J. Koch,1,3,
Galium ruthenicum Willd.,,,3
Galium verum L.,5,5,
Ajuga pseudochia Des.-Shost.,,,1
Filipendula vulgaris Moench,,,5
Marrubium praecox Janka,,3,3
Nepeta parviflora M. Bieb.,,,5
Phlomis pungens Willd.,,7,10
Phlomoides tuberosa (L.) Moench,,,1
Poterium polygamum Waldst. & Kit.,5,,
Salvia nutans L.,1,15,7
Salvia tesquicola Klokov & Pobed.,,,3
Stachys transsilvanica Schur,7,7,3
Thymus dimorphus Klokov & Des.-Shost.,,5,5
Thymus marschallianus Willd.,,,1
Eryngium campestre L.,5,5,
Falcaria vulgaris Bernh.,,5,1
Vinca herbacea Waldst. & Kit.,,,7
Vincetoxicum hirundinaria Medik.,,,3
Astragalus ucrainicus M. Pop. & Klokov,,3,1
Caragana frutex (L.) K. Koch,,,3
Caragana scythica (Kom.) Pojark.,,7,
Securigera varia (L.) Lassen,5,,
Jurinea arachnoidea Bunge,,,1
Centaurea orientalis L.,,,2
Galatella villosa (L.) Rchb. f.,10,15,5
Scorzonera mollis M. Bieb.,3,,
Carex supina Willd. ex Wahlenb.,10,7,
Iris taurica Lodd.,,,10
