spec,S_007_01,S_007_02,S_007_03
Festuca valesiaca Gaudin,25,20,35
Stipa lessingiana Trin. & Rupr.,50,60,
Convolvulus arvensis L.,4,1,
Euphorbia seguieriana Neck.,4,4,2
Euphorbia stepposa Zoz ex Prokh.,10,5,
Hypericum perforatum L.,5,,
Pseudolysimachion barrelieri (Schott) Holub,4,,7
Pseudolysimachion viscosulum (Klokov) Tzvelev,,,5
Veronica sclerophylla Dubovik,3,5,3
Plantago lanceolata L.,6,2,5
Plantago urvillei Opiz,2,,
Verbascum laxum Filar. & Jáv.,2,,
Verbascum lychnitis L.,,6,
Erysimum canescens Roth,3,3,
Galium humifusum M. Bieb.,5,2,
Agrimonia eupatoria L.,,2,1
Potentilla argentea L.,3,,
Potentilla callieri (Th. Wolf) Juz.,,1,3
Potentilla neglecta Baumg.,,10,4
Salvia nutans L.,5,,15
Salvia tesquicola Klokov & Pobed.,15,7,8
Thymus dimorphus Klokov & Des.-Shost.,15,,11
Thymus marschallianus Willd.,4,30,
Teucrium polium L.,,,7
Linum tenuifolium L.,,,30
Poterium polygamum Waldst. & Kit.,,,1
Eryngium campestre L.,,,3
Falcaria vulgaris Bernh.,,7,
Lathyrus tuberosus L.,20,,
Medicago romanica Prodán,18,,7
Medicago scutellata (L.) Mill.,,16,
Trifolium alpestre L.,,4,
Achillea pannonica Scheele,,9,13
Achillea stepposa Klokov & Krytzka,6,15,
Artemisia austriaca Jacq.,14,9,
Centaurea diffusa Lam.,3,,
Centaurea marschalliana Spreng.,,,8
Pilosella officinаrum F. Schult. & Sch. Bip.,,,4
Senecio erucifolius L.,6,3,1
Tanacetum millefolium (L.) Tzvelev,,5,10
