spec,S_033_01,S_034_01,S_035_01
Bromopsis inermis (Leyss.) Holub,,,4
Bromopsis riparia (Rehmann) Holub,20,20,5
Elytrigia repens (L.) Nevski,,1,
Festuca valesiaca Gaudin,15,45,65
Koeleria cristata (L.) Pers.,7,10,
Stipa capillata L.,,7,
Convolvulus arvensis L.,,1,
Plantago lanceolata L.,,5,
Plantago urvillei Opiz,,6,
Pseudolysimachion barrelieri (Schott) Holub,2,,
Pseudolysimachion incanum (L.) Holub,2,,
Poterium polygamum Waldst. & Kit.,3,,
Galium pseudohumifusum (Klokov) Ostapko,,,9
Gypsophila paniculata L.,16,4,
Vinca herbacea Waldst. & Kit.,5,,
Euphorbia seguieriana Neck.,,,10
Euphorbia stepposa Zoz ex Prokh.,4,,
Eryngium campestre L.,3,13,6
Peucedanum ruthenicum M. Bieb.,,4,
Verbascum phoeniceum L. ,,1,
Falcaria vulgaris Bernh.,,4,
Linum austriacum L.,,,1
Linum czernjajevii Klokov,30,,
Melampyrum arvense L.,2,,
Potentilla humifusa Willd. ex Schlecht.,2,,15
Potentilla neglecta Baumg.,4,,10
Potentilla schurii Fuss ex Zimmeter,3,,
Scabiosa ochroleuca L.,2,,
Otites chersonensis (Zapał.) Klokov,,,3
Goniolimon tataricum (L.) Boiss.,,2,
Marrubium praecox Janka,,8,
Salvia nutans L.,17,15,
Salvia tesquicola Klokov & Pobed.,,,2
Stachys transsilvanica Schur,3,,
Thymus dimorphus Klokov & Des.-Shost.,18,,10
Thymus marschallianus Willd.,,,20
Teucrium polium L.,5,,
Astragalus ucrainicus M. Pop. & Klokov,10,9,
Caragana frutex (L.) K. Koch,6,,
Medicago romanica Prodán,8,8,15
Securigera varia (L.) Lassen,5,,
Achillea nobilis L.,10,11,
Achillea pannonica Scheele,3,,20
Artemisia austriaca Jacq.,,23,2
Artemisia santonica L.,,3,
Carduus acanthoides L.,,5,
Helichrysum arenarium (L.) Moench,11,,
Galatella villosa (L.) Rchb. f.,,15,
Jurinea arachnoidea Bunge,3,,
Pilosella echioides (Lumn.) F. Schult. & Sch. Bip.,,4,
Tanacetum millefolium (L.) Tzvelev,5,,17
