class,order,family,genus,species,rank,author,sci_name,S_001_01,S_001_02,S_001_03,S_002_01,S_002_02,S_002_03,S_003_01,S_003_02,S_003_03,S_004_01,S_004_02,S_004_03,S_005_03,S_005_02,S_005_01,S_006_01,S_006_02,S_006_03,S_007_01,S_007_02,S_007_03,S_008_01,S_008_02,S_008_03,S_009_01,S_009_02,S_009_03,S_010_01,S_011_01,S_012_01,S_013_01,S_013_02,S_014_01,S_015_01,S_016_01,S_017_01,S_018_01,S_018_02,S_021_01,S_022_01,S_023_01,S_024_01,S_025_01,S_026_01,S_027_01,S_027_02,S_028_01,S_029_01,S_029_02,S_030_01,S_030_02,S_032_01,S_032_02,S_031_01,S_033_01,S_034_01,S_035_01,S_039_01,S_040_01,S_040_02,S_041_01,S_041_02,S_046_01,S_046_02,S_047_01,S_047_02,S_048_01,S_048_02
Magnoliopsida,Apiales,Apiaceae,Eryngium,campestre,SPECIES,L.,Eryngium campestre L.,5,5,0,5,7,0,1,0,0,0,2,3,0,5,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,11,0,0,5,15,4,2,4,0,0,0,0,0,0,0,0,3,25,0,8,6,30,3,13,6,20,0,0,0,0,10,5,1,6,0,0
Magnoliopsida,Apiales,Apiaceae,Falcaria,vulgaris,SPECIES,Bernh.,Falcaria vulgaris Bernh.,0,5,1,0,0,0,0,3,0,0,0,0,6,0,0,7,0,5,0,7,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,5,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,4,0,0,0,7,0,0,6,0,5,0,0,3
Magnoliopsida,Apiales,Apiaceae,Ferulago,galbanifera,SPECIES,(Mill.) W.D.J.Koch,Ferulago galbanifera (Mill.) W.D.J.Koch,1,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Asterales,Asteraceae,Candollea,mollis,SPECIES,(M.Bieb.) Yild.,Candollea mollis (M.Bieb.) Yild.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Asterales,Asteraceae,Centaurea,orientalis,SPECIES,L.,Centaurea orientalis L.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Magnoliopsida,Asterales,Asteraceae,Galatella,villosa,SPECIES,(L.) Rchb.fil.,Galatella villosa (L.) Rchb.fil.,10,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0,5,0,0,40,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,10
Magnoliopsida,Asterales,Asteraceae,Jurinea,arachnoidea,SPECIES,Bunge,Jurinea arachnoidea Bunge,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Boraginales,Boraginaceae,Nonea,pulla,SPECIES,(L.) DC.,Nonea pulla (L.) DC.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Caryophyllales,Caryophyllaceae,Eremogone,biebersteinii,SPECIES,(Schltdl.) Holub,Eremogone biebersteinii (Schltdl.) Holub,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Fabales,Fabaceae,Astragalus,ucrainicus,SPECIES,Popov & Klokov,Astragalus ucrainicus Popov & Klokov,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,7,0,0
